"vértice","east","north"
"P-01",410769.2,140443.12
"P-02",415407.42,139245.91
"P-03",416613.41,137260.28
"P-04",418765.81,138132.31
"P-05",423378.13,130563.09
"P-06",423560.87,131013.35
"P-07",428236.94,130950.9
"P-08",428294.17,130796.93
"P-09",426838.05,126064.02
"P-10",424926.37,125490.99
"P-11",423091.73,123506.24
"P-12",422056.57,124133.18
"P-13",419643.04,122731.73
"P-14",417505.46,122740.51
"P-15",416776.58,122286.8
"P-16",411181.91,114544.32
"P-17",412251.32,111841.13
"P-18",412385.57,109808.42
"P-19",399342.22,115818.01
"P-20",400652.9,117729.48
"P-21",400773.23,120389.8
"P-22",400212.53,120672.98
"P-23",410879.79,119583.44
"P-24",411683.91,119194.17
"P-25",411459,117796.6
"P-26",410688.84,117196.36
"P-27",409757.15,117364.55
"P-28",409403.14,117996.66
"P-29",409323.92,118764.82
